date,low,high,open,close,volume
2017-01-03 00:00:00,1006.71,1036.99,1011.52,1020.67,8614.2500581414
2017-01-04 00:00:00,1018,1147,1020.69,1130.3,16222.230266662
2017-01-05 00:00:00,880,1175,1131.1,1007,20438.581925454
2017-01-06 00:00:00,875.01,1033.85,1007,895.71,14262.504267053
2017-01-07 00:00:00,802.07,910,895.78,909,11215.102851714
2017-01-08 00:00:00,899.16,953.8,908.99,923.33,5410.0034990912
2017-01-09 00:00:00,886.42,923.58,922.04,902.66,5909.5781216714
2017-01-10 00:00:00,899.01,915.1,902.66,907,7221.7892366516
2017-01-11 00:00:00,765,923.98,906.81,795.77,19443.615284278
2017-01-12 00:00:00,734.64,840,795.8,812.25,13198.295955123
2017-01-13 00:00:00,782.85,835.01,812.25,831.42,10492.403710022
2017-01-14 00:00:00,822.34,847.52,831.42,828,4774.3037756107
2017-01-15 00:00:00,819,835,828,833.31,2941.9150486202
2017-01-16 00:00:00,826.03,840,833.43,834.41,3428.7919304501
2017-01-17 00:00:00,830.1,909,834.4,906,7253.4785706008
2017-01-18 00:00:00,850,916.7,906.09,887.99,6937.9865236508
2017-01-19 00:00:00,883.08,907,887.98,902.92,5070.1846300105
2017-01-20 00:00:00,890,904.59,902.92,894.31,3110.5897419401
2017-01-21 00:00:00,891.28,930,894.31,925.06,4666.6608888703
2017-01-22 00:00:00,902,946.25,925.06,931.22,5044.1435480106
2017-01-23 00:00:00,910.63,931.33,929.45,910.7,4141.4322738902
2017-01-24 00:00:00,880,923,911.78,887,6401.7351526906
2017-01-25 00:00:00,886.99,903.98,887,896,4535.1045761405
2017-01-26 00:00:00,896,921.95,896.75,917.02,4718.0825334404
2017-01-27 00:00:00,911,924.47,917.02,922.63,3719.0654857902
2017-01-28 00:00:00,921.81,925.5,922.89,924.98,2634.5379973901
2017-01-29 00:00:00,915,927.47,924.69,916.54,2592.34365375
2017-01-30 00:00:00,914.69,923.95,916.56,923.23,3617.9428620303
2017-01-31 00:00:00,922.94,972.3,923.26,970.01,6732.2627866405
2017-02-01 00:00:00,963.84,992.75,970.01,992.75,5993.6259664506
2017-02-02 00:00:00,978.74,1010,992.75,1008.38,5728.2123807703
2017-02-03 00:00:00,994.34,1024.5,1008.4,1018,6776.2697184606
2017-02-04 00:00:00,1001.8,1044.12,1018.48,1035.54,4793.8052261603
2017-02-05 00:00:00,1003.02,1036.3,1035.54,1016.32,4621.3916908602
2017-02-06 00:00:00,1014.64,1027.7,1016.32,1022.58,4366.0436008401
2017-02-07 00:00:00,1021.75,1058.26,1022.65,1053.96,5492.4088090103
2017-02-08 00:00:00,1016.49,1069.95,1053.95,1056.7,6978.5845029703
2017-02-09 00:00:00,925,1079,1057.22,994.24,16567.071136292
2017-02-10 00:00:00,961,1008,993.58,1001.99,7943.6763367808
2017-02-11 00:00:00,995.49,1023.89,1001.88,1018.65,4321.9705956403
2017-02-12 00:00:00,1008,1018.88,1018.63,1010,1315.7295579
2017-02-13 00:00:00,985.68,1021.5,1009.99,1002.82,4721.7405828305
2017-02-14 00:00:00,992.27,1018.97,1002.88,1013.92,5910.4903279509
